"","age","fl","lake","era"
"1",14,459,"Harrison","1977-80"
"2",12,449,"Harrison","1977-80"
"3",10,471,"Harrison","1977-80"
"4",10,446,"Harrison","1977-80"
"5",9,400,"Harrison","1977-80"
"6",9,440,"Harrison","1977-80"
"7",9,462,"Harrison","1977-80"
"8",8,480,"Harrison","1977-80"
"9",8,449,"Harrison","1977-80"
"10",7,437,"Harrison","1977-80"
"11",7,431,"Harrison","1977-80"
"12",7,425,"Harrison","1977-80"
"13",7,419,"Harrison","1977-80"
"14",6,409,"Harrison","1977-80"
"15",6,397,"Harrison","1977-80"
"16",5,419,"Harrison","1977-80"
"17",5,381,"Harrison","1977-80"
"18",5,363,"Harrison","1977-80"
"19",5,351,"Harrison","1977-80"
"20",4,372,"Harrison","1977-80"
"21",2,199,"Harrison","1977-80"
"22",2,184,"Harrison","1977-80"
"23",1,91,"Harrison","1977-80"
"24",12,440,"Harrison","1997-01"
"25",11,428,"Harrison","1997-01"
"26",10,440,"Harrison","1997-01"
"27",10,422,"Harrison","1997-01"
"28",9,434,"Harrison","1997-01"
"29",9,415,"Harrison","1997-01"
"30",9,406,"Harrison","1997-01"
"31",8,434,"Harrison","1997-01"
"32",8,406,"Harrison","1997-01"
"33",8,375,"Harrison","1997-01"
"34",7,415,"Harrison","1997-01"
"35",7,394,"Harrison","1997-01"
"36",6,381,"Harrison","1997-01"
"37",6,357,"Harrison","1997-01"
"38",5,341,"Harrison","1997-01"
"39",5,326,"Harrison","1997-01"
"40",4,304,"Harrison","1997-01"
"41",4,292,"Harrison","1997-01"
"42",4,270,"Harrison","1997-01"
"43",4,252,"Harrison","1997-01"
"44",4,221,"Harrison","1997-01"
"45",3,258,"Harrison","1997-01"
"46",3,233,"Harrison","1997-01"
"47",3,211,"Harrison","1997-01"
"48",3,205,"Harrison","1997-01"
"49",3,180,"Harrison","1997-01"
"50",2,196,"Harrison","1997-01"
"51",2,171,"Harrison","1997-01"
"52",2,143,"Harrison","1997-01"
"53",1,131,"Harrison","1997-01"
"54",1,88,"Harrison","1997-01"
"55",1,75,"Harrison","1997-01"
"56",0,51,"Harrison","1997-01"
"57",0,41,"Harrison","1997-01"
"58",0,20,"Harrison","1997-01"
"59",7,245,"Harrison","1997-01"
"60",7,279,"Harrison","1997-01"
"61",5,245,"Harrison","1997-01"
"62",8,360,"Osprey","1977-80"
"63",8,357,"Osprey","1977-80"
"64",7,357,"Osprey","1977-80"
"65",7,329,"Osprey","1977-80"
"66",6,385,"Osprey","1977-80"
"67",6,323,"Osprey","1977-80"
"68",5,369,"Osprey","1977-80"
"69",5,326,"Osprey","1977-80"
"70",4,357,"Osprey","1977-80"
"71",4,326,"Osprey","1977-80"
"72",4,258,"Osprey","1977-80"
"73",4,239,"Osprey","1977-80"
"74",3,221,"Osprey","1977-80"
"75",3,258,"Osprey","1977-80"
"76",3,276,"Osprey","1977-80"
"77",11,688,"Osprey","1997-01"
"78",10,369,"Osprey","1997-01"
"79",9,400,"Osprey","1997-01"
"80",8,381,"Osprey","1997-01"
"81",8,332,"Osprey","1997-01"
"82",7,394,"Osprey","1997-01"
"83",7,388,"Osprey","1997-01"
"84",7,354,"Osprey","1997-01"
"85",7,320,"Osprey","1997-01"
"86",6,320,"Osprey","1997-01"
"87",6,347,"Osprey","1997-01"
"88",6,360,"Osprey","1997-01"
"89",5,354,"Osprey","1997-01"
"90",5,335,"Osprey","1997-01"
"91",5,313,"Osprey","1997-01"
"92",5,289,"Osprey","1997-01"
"93",4,313,"Osprey","1997-01"
"94",4,298,"Osprey","1997-01"
"95",3,279,"Osprey","1997-01"
"96",3,273,"Osprey","1997-01"
